"","isolate","class","averageAbundance","occupancyPer","soil"
"806rcbc15","806rcbc15","Transients",23.9452736318408,6.46766169154229,"NO"
"806rcbc16","806rcbc16","Transients",9.48590381426202,27.363184079602,"NO"
"806rcbc17","806rcbc17","Transients",103.004975124378,5.14096185737977,"NO"
"806rcbc18","806rcbc18","Transients",60.4975124378109,5.63847429519071,"NO"
"806rcbc19","806rcbc19","Transients",60.0298507462687,9.61857379767828,"NO"
"806rcbc2","806rcbc2","Transients",58.8291873963516,26.3681592039801,"NO"
"806rcbc20","806rcbc20","Transients",319.041459369818,6.46766169154229,"SE"
"806rcbc206","806rcbc206","Transients",514.160862354892,24.8756218905473,"UG"
"806rcbc207","806rcbc207","Transients",284.086235489221,22.2222222222222,"UG"
"806rcbc209","806rcbc209","Transients",536.7728026534,19.4029850746269,"UG"
"806rcbc21","806rcbc21","Transients",1.20729684908789,3.48258706467662,"NO"
"806rcbc211","806rcbc211","Transients",363.142620232172,15.257048092869,"UG"
"806rcbc213","806rcbc213","Transients",44.3764510779436,6.96517412935323,"UG"
"806rcbc214","806rcbc214","Transients",2.94361525704809,1.16086235489221,"UG"
"806rcbc215","806rcbc215","Transients",256.673300165837,12.2719734660033,"UG"
"806rcbc218","806rcbc218","Transients",155.469320066335,8.62354892205638,"UG"
"806rcbc220","806rcbc220","Transients",48.6053067993367,4.14593698175788,"UG"
"806rcbc221","806rcbc221","Transients",77.9320066334992,3.48258706467662,"UG"
"806rcbc222","806rcbc222","Transients",59.9933665008292,4.14593698175788,"UG"
"806rcbc223","806rcbc223","Transients",475.786069651741,16.7495854063018,"UG"
"806rcbc224","806rcbc224","Transients",386.439469320066,13.4328358208955,"UG"
"806rcbc226","806rcbc226","Transients",542.157545605307,26.865671641791,"UG"
"806rcbc235","806rcbc235","Transients",326.054726368159,14.0961857379768,"UG"
"806rcbc246","806rcbc246","Transients",457.975124378109,16.5837479270315,"UG"
"806rcbc249","806rcbc249","Transients",23.6567164179104,14.5936981757877,"UG"
"806rcbc25","806rcbc25","Transients",70.9585406301824,7.62852404643449,"NO"
"806rcbc253","806rcbc253","Transients",478.603648424544,16.9154228855721,"UG"
"806rcbc259","806rcbc259","Transients",393.976782752902,8.12603648424544,"UG"
"806rcbc261","806rcbc261","Transients",9.44278606965174,10.1160862354892,"UG"
"806rcbc263","806rcbc263","Transients",143.238805970149,22.5538971807629,"UG"
"806rcbc264","806rcbc264","Transients",432.069651741294,18.9054726368159,"UG"
"806rcbc267","806rcbc267","Transients",0.262023217247098,2.48756218905473,"SE"
"806rcbc268","806rcbc268","Transients",190.374792703151,7.13101160862355,"UG"
"806rcbc271","806rcbc271","Transients",527.807628524046,18.7396351575456,"UG"
"806rcbc274","806rcbc274","Transients",475.330016583748,17.4129353233831,"UG"
"806rcbc278","806rcbc278","Transients",0.0165837479270315,0.497512437810945,"UG"
"806rcbc28","806rcbc28","Transients",3.67330016583748,4.14593698175788,"NO"
